title,summary,alternative_names
A guide to clinical trials for cancer,"If you have cancer, a clinical trial may be an option for you. A clinical trial is a study using people who agree to participate in new tests or treatments. Clinical trials help researchers know whether a new treatment works well and is safe. Trials are available for many cancers and all stages of cancer, not just advanced cancer. If you join a trial, you may get treatment that can help you. Plus, you will help others to learn more about your cancer as well as new tests or treatments. There are many things to consider before joining a trial. Learn about why you might want to enroll in a clinical trial and where to find one.",Intervention study - cancer
A guide to help children understand cancer,"When your child is diagnosed with cancer, one of the hardest things you have to do is to explain what it means to have cancer. Know that what you tell your child will help your child face cancer. Explaining things honestly at the right level for your child's age will help your child be less afraid.Children understand things differently based on their age. Knowing what your child may understand, and what questions they may ask, can help you know better what to say.",
A guide to herbal remedies,"Herbal remedies are plants used like a medicine. People use herbal remedies to help prevent or cure disease. They use them to get relief from symptoms, boost energy, relax, or lose weight. Herbal remedies are not regulated or tested like medicines. How can you know what you are getting and if it is useful? This guide can help you choose and use herbals safely.",
A1C test,A1C is a lab test that shows the average level of blood sugar (glucose) over the previous 3 months. It shows how well you are controlling your blood sugar to help prevent complications from diabetes.,HbA1C test; Glycated hemoglobin test; Glycohemoglobin test; Hemoglobin A1C; Diabetes - A1C; Diabetic - A1C
Aarskog syndrome,"Aarskog syndrome is a very rare disease that affects a person's height, muscles, skeleton, genitals, and appearance. It can be passed down through families (inherited).",Aarskog disease; Aarskog-Scott syndrome; AAS; Faciodigitogenital syndrome; Gaciogenital dysplasia
Aase syndrome,Aase syndrome is a rare disorder that involves anemia and certain joint and skeletal deformities.,"Aase-Smith syndrome; Hypoplastic anemia - triphalangeal thumbs, Aase-Smith type; Diamond-Blackfan with AS-II; Aase-Smith I syndrome; Hydrocephalus-cleft palate-joint contractures syndrome"
Abdomen - swollen,A swollen abdomen is when your belly area is bigger than usual.,Swollen belly; Swelling in the abdomen; Abdominal distention; Distended abdomen
Abdominal aortic aneurysm,"The aorta is the main blood vessel that supplies blood to the abdomen, pelvis, and legs. An abdominal aortic aneurysm (AAA) occurs when an area of the aorta in the abdomen becomes very large or balloons out.",Aneurysm - aortic; AAA
Abdominal aortic aneurysm repair - open,"Open abdominal aortic aneurysm (AAA) repair is surgery to fix a widened part in your aorta. This is called an aneurysm. The aorta is the large artery that carries blood from your heart to your belly (abdomen), pelvis, and legs.An aortic aneurysm is when part of this artery becomes too large or balloons outward.",AAA - open; Repair - aortic aneurysm - open
Abdominal aortic aneurysm repair - open - discharge,"Open abdominal aortic aneurysm (AAA) repair is surgery to fix a widened part in your aorta. This is called an aneurysm. The aorta is the large artery that carries blood to your belly (abdomen), pelvis, and legs.",AAA - open - discharge; Repair - aortic aneurysm - open - discharge
Abdominal bloating,Abdominal bloating is a condition in which the belly (abdomen) feels full and tight. Your belly may look swollen (distended).,Bloating; Meteorism
Abdominal CT scan,An abdominal CT scan is an imaging method. This test uses x-rays to create cross-sectional pictures of the belly area. CT stands for computed tomography.,Computed tomography scan - abdomen; CT scan - abdomen; CT abdomen and pelvis
Abdominal exploration,"Abdominal exploration is surgery to look at the organs and structures in your belly area (abdomen). This includes your:AppendixBladderGallbladderIntestinesKidney and uretersLiverPancreasSpleenStomachUterus, fallopian tubes, and ovaries (in women)Surgery that opens the abdomen is called a laparotomy.",Exploratory surgery; Laparotomy; Exploratory laparotomy
Abdominal girth,"Abdominal girth is the measurement of the distance around the abdomen at a specific point. Measurement is most often made at the level of the belly button (navel). Abdominal girth is used to diagnose and monitor the following:Buildup of fluid in the abdomen, most often caused by liver failure, heart failure, or any cancer that has spread widely throughout the abdomenObesityBuildup of intestinal gas, most often caused by blockage or obstruction in the intestines",
Abdominal mass,An abdominal mass is swelling in one part of the belly area (abdomen).,Mass in the abdomen
Abdominal MRI scan,"An abdominal magnetic resonance imaging scan is an imaging test that uses powerful magnets and radio waves. The waves create pictures of the inside of the belly area. It does not use radiation (x-rays).Single magnetic resonance imaging (MRI) images are called slices. The images can be stored on a computer, viewed on a monitor, printed on film or scanned to a disk. One exam produces dozens or sometimes hundreds of images.",Nuclear magnetic resonance - abdomen; NMR - abdomen; Magnetic resonance imaging - abdomen; MRI of the abdomen; Liver MRI - abdomen; Pancreas MRI - abdomen; Kidney MRI - abdomen
Abdominal pain,Abdominal pain is pain that you feel anywhere between your chest and groin. This is often referred to as the stomach region or belly.,Stomach pain; Pain - abdomen; Belly ache; Abdominal cramps; Bellyache; Stomachache
Abdominal pain - children under age 12,"Almost all children have abdominal pain at one time or another. Abdominal pain is pain in the stomach or belly area. It can be anywhere between the chest and groin. Most of the time, it is not caused by a serious medical problem. But sometimes abdominal pain can be a sign of something serious. Learn when you should seek medical care right away for your child with abdominal pain.",Stomach pain in children; Pain - abdomen - children; Abdominal cramps in children; Belly ache in children
Abdominal radiation - discharge,"When you have radiation treatment for cancer, your body goes through changes. Follow your health care provider's instructions on how to care for yourself at home. Use the information below as a reminder.",Radiation - abdomen - discharge; Cancer - abdominal radiation; Lymphoma - abdominal radiation
Abdominal rigidity,"Abdominal rigidity is stiffness of the muscles in the belly area, which can be felt when touched or pressed.",Rigidity of the abdomen
Abdominal sounds,Abdominal sounds are the noises made by the intestines.,Bowel sounds
